DTG,RTT
1426479295758,0
1426479296012,0
1426479296263,0
1426479296514,1
1426479296767,1
1426479297017,0
1426479297269,1
1426479297522,1
1426479297773,1
1426479298023,0
1426479298274,1
1426479298526,0
1426479298781,1
1426479299035,0
1426479299286,1
1426479299536,1
1426479299789,1
1426479300041,0
1426479300293,1
1426479300546,0
1426479300801,1
1426479301051,0
1426479301304,1
1426479301554,1
1426479301805,1
1426479302059,0
1426479302310,0
1426479302563,1
1426479302817,0
1426479303068,1
1426479303318,0
1426479303573,1
1426479303828,1
1426479304083,1
1426479304337,0
1426479304592,0
1426479304847,1
1426479305101,1
1426479305351,0
1426479305605,0
1426479305860,0
1426479306115,0
1426479306369,0
1426479306620,0
1426479306873,0
1426479307127,1
1426479307382,1
1426479307632,1
1426479307882,0
1426479308133,0
1426479308384,0
1426479308636,0
1426479308889,1
1426479309144,0
1426479309394,1
1426479309645,1
1426479309897,1
1426479310149,1
1426479310400,0
1426479310655,0
1426479310906,0
1426479311157,1
1426479311408,1
1426479311662,0
1426479311912,0
1426479312163,0
1426479312415,0
1426479312668,1
1426479312921,1
1426479313174,1
1426479313424,0
1426479313675,1
1426479313929,1
1426479314179,1
1426479314432,0
1426479314685,0
1426479314936,1
1426479315187,1
1426479315440,0
1426479315691,0
1426479315945,1
1426479316199,1
1426479316451,0
1426479316702,1
1426479316953,0
1426479317206,0
1426479317456,0
1426479317708,0
1426479317960,0
1426479318215,0
1426479318466,1
1426479318721,1
1426479318973,0
1426479319228,2
1426479319480,0
1426479319730,0
1426479319981,0
1426479320236,0
