DTG,RTT
1426479052191,0
1426479052444,0
1426479052696,0
1426479052948,0
1426479053200,1
1426479053453,0
1426479053704,0
1426479053956,0
1426479054211,0
1426479054466,0
1426479054718,0
1426479054969,0
1426479055224,0
1426479055479,0
1426479055730,0
1426479055981,1
1426479056233,0
1426479056485,0
1426479056739,1
1426479056992,0
1426479066613,0
1426479066864,0
1426479067119,0
1426479067369,0
1426479067624,0
1426479067879,0
1426479068134,1
1426479068387,0
1426479068642,0
1426479068897,0
1426479069152,0
1426479069407,0
1426479069659,0
1426479095766,0
1426479096017,0
1426479096267,0
1426479096518,0
1426479096769,0
1426479097022,0
1426479097278,1
1426479097529,0
1426479097781,1
1426479098032,1
1426479098287,1
1426479098541,0
1426479098792,0
1426479099047,1
1426479099300,1
1426479099550,0
1426479099805,1
1426479100060,1
1426479100314,1
1426479100569,0
1426479100823,1
1426479101078,1
1426479101333,1
1426479101584,1
1426479101839,1
1426479102092,1
1426479102342,1
1426479102593,0
1426479102846,0
1426479103101,0
1426479103352,0
1426479103607,0
1426479103863,1
1426479104118,1
1426479104372,1
1426479104628,1
1426479104879,0
1426479105134,0
1426479105389,0
1426479105640,0
1426479105891,1
1426479106145,0
1426479106398,1
1426479106653,1
1426479106908,1
1426479107162,0
1426479107415,0
1426479107666,0
1426479107919,1
1426479108174,1
1426479108429,1
1426479108679,1
1426479108929,0
1426479109182,1
1426479109433,0
1426479109684,1
1426479109935,0
1426479110191,0
1426479110445,0
1426479110696,0
1426479110951,0
1426479111207,0
1426479111460,0
1426479111712,1
1426479111964,0
1426479112219,1
1426479112469,0
1426479112723,1
1426479112976,1
