DTG,RTT
1426360316393,99
1426360316670,122
1426360316902,102
1426360317153,100
1426360317406,99
1426360317715,154
1426360318467,148
1426360318745,176
1426360319996,161
1426360320192,103
1426360320441,100
1426360320693,98
1426360321241,137
1426360321455,101
1426360321710,101
1426360321960,100
1426360322721,101
1426360322974,101
1426360323229,104
1426360323479,100
1426360323730,100
1426360323985,101
1426360324236,101
1426360324487,100
1426360324746,104
1426360325573,175
1426360326006,100
1426360326259,100
1426360326520,108
1426360326767,101
1426360327019,102
1426360327272,100
1426360327528,103
1426360327780,100
1426360328032,100
1426360328305,118
1426360328542,100
1426360328792,99
1426360329059,112
1426360329300,100
1426360329556,103
1426360329806,100
1426360330059,100
1426360330308,99
1426360330562,99
1426360330816,99
1426360331069,101
1426360331320,100
1426360331575,102
1426360331829,103
1426360332088,108
1426360332337,103
1426360332590,103
1426360332839,99
1426360333093,99
1426360333350,103
1426360333601,100
1426360333856,100
1426360334111,101
1426360334361,100
1426360334617,101
1426360334869,99
1426360335124,101
1426360335375,101
1426360335625,100
1426360335879,99
1426360336133,100
1426360336386,99
1426360336637,101
1426360336899,109
1426360337143,102
1426360337395,101
1426360337679,130
1426360337902,100
1426360338156,101
1426360338409,101
1426360338665,102
1426360338914,100
1426360339168,101
1426360339422,101
1426360339672,101
1426360339932,108
1426360340177,102
1426360340427,99
1426360340684,103
1426360340932,99
1426360341186,100
1426360341442,101
1426360341692,99
1426360341946,102
1426360342206,108
1426360342454,103
1426360342704,101
1426360342958,100
1426360343208,99
1426360343464,101
1426360343717,101
1426360343970,100
1426360344224,101
1426360344476,101
1426360344726,100
1426360344982,102
1426360345232,99
1426360345485,100
1426360345738,101
1426360345993,101
1426360346246,101
1426360346495,100
1426360346750,100
1426360347011,109
1426360347252,99
1426360347509,101
1426360347763,103
1426360348013,101
1426360348265,99
1426360348521,102
1426360348773,100
1426360349028,103
1426360349329,150
1426360349533,100
1426360349788,102
1426360350041,103
1426360350293,100
1426360350548,100
1426360350801,101
