DTG,RTT
1426474296617,1
1426474296868,1
1426474297123,1
1426474297378,1
1426474297633,1
1426474297888,1
1426474298143,1
1426474298398,1
1426474298652,1
1426474298907,1
1426474299158,0
1426474299409,0
1426474299659,0
1426474299910,0
1426474300161,1
1426474300416,1
1426474300667,0
1426474300919,1
1426474301174,1
1426474301424,1
1426474301675,0
1426474301927,1
1426474302180,1
1426474302432,0
1426474302683,0
1426474302938,1
1426474303190,0
1426474303446,1
1426474303696,0
1426474303947,0
1426474304200,0
1426474304456,0
1426474304708,0
1426474304963,0
1426474305214,0
1426474305464,0
1426474305720,1
1426474305972,1
1426474306222,0
1426474306473,0
1426474306725,0
1426474306979,0
1426474307233,0
1426474307485,0
1426474307740,0
1426474307992,0
1426474308247,0
1426474308498,0
1426474308752,1
1426474309004,1
1426474309256,1
1426474309510,0
1426474309765,0
1426474310020,0
1426474310274,1
1426474310526,1
1426474310776,0
1426474311030,0
1426474311280,0
1426474311535,0
1426474311788,1
1426474312039,0
1426474312294,0
1426474312548,0
1426474312803,1
1426474313056,0
1426474313310,1
1426474313562,0
1426474313814,0
1426474314064,0
1426474314315,1
1426474314567,0
1426474314820,0
1426474315071,0
1426474315324,1
1426474315574,0
1426474315825,0
1426474316080,1
1426474316331,0
1426474316586,1
1426474316837,0
1426474317092,0
1426474317342,0
1426474317596,0
1426474317847,1
1426474318100,0
1426474318355,0
1426474318606,1
1426474318857,1
1426474319108,0
1426474319359,0
1426474319612,0
1426474319866,0
1426474320119,1
1426474320371,0
1426474320626,0
1426474320879,0
1426474321132,0
1426474321387,0
1426474321641,1
1426474321891,1
