DTG,RTT
1426475714081,1
1426475714336,1
1426475714591,1
1426475714846,1
1426475715099,0
1426475715351,1
1426475715606,1
1426475715860,0
1426475716114,0
1426475716369,0
1426475716622,1
1426475716875,0
1426475717130,0
1426475717382,0
1426475717633,0
1426475717883,0
1426475718134,0
1426475718389,0
1426475718643,0
1426475718896,1
1426475719147,0
1426475719398,0
1426475719648,0
1426475719900,0
1426475720152,1
1426475720402,0
1426475720653,1
1426475720903,0
1426475721154,1
1426475721405,1
1426475721655,1
1426475721909,1
1426475722160,0
1426475722410,0
1426475722662,0
1426475722917,0
1426475723170,0
1426475723422,1
1426475723672,0
1426475723923,0
1426475724178,0
1426475724433,0
1426475724687,0
1426475724942,0
1426475725197,0
1426475725452,0
1426475725707,0
1426475725959,1
1426475726213,0
1426475726468,0
1426475726720,1
1426475726974,0
1426475727229,0
1426475727484,0
1426475727739,0
1426475727993,0
1426475728246,0
1426475728501,0
1426475728756,0
1426475729011,0
1426475729264,1
1426475729518,1
1426475729769,1
1426475730021,0
1426475730276,1
1426475730531,1
1426475730786,1
1426475731041,1
1426475731292,0
1426475731546,1
1426475731800,1
1426475732053,0
1426475732308,0
1426475732563,0
1426475732816,0
1426475733071,0
1426475733324,1
1426475733579,1
1426475733830,1
1426475734082,1
1426475734332,1
1426475734587,1
1426475734842,1
1426475735096,0
1426475735351,0
1426475735606,1
1426475735861,1
1426475736114,0
1426475736366,1
1426475736621,1
1426475736871,0
1426475737127,1
1426475737380,1
1426475737633,0
1426475737884,1
1426475738139,1
1426475738394,1
1426475738647,0
1426475738902,0
1426475739156,1
1426475739411,0
1426475739665,0
1426475739920,0
1426475740170,0
1426475740422,1
1426475740677,1
1426475740932,1
1426475741187,1
1426475741440,0
1426475741693,0
1426475741948,0
1426475742199,1
1426475742450,1
1426475742700,0
1426475742955,0
1426475743210,0
1426475743460,0
1426475743710,0
1426475743965,0
1426475744218,0
1426475744469,1
1426475744720,1
1426475744974,1
1426475745226,1
1426476056431,0
1426476056686,0
1426476056941,0
1426476057192,0
1426476057443,1
1426476057695,0
1426476057949,1
1426476058199,0
1426476058449,0
1426476058702,1
1426476058957,1
1426476059207,0
1426476059457,0
1426476059711,0
1426476059962,0
1426476060215,0
1426476060470,0
1426476060725,1
1426476060980,1
1426476061230,1
1426476061481,0
1426476061731,0
1426476061985,0
1426476062237,0
1426476062492,0
1426476062743,1
1426476062996,0
1426476063248,0
1426476063499,0
1426476063751,1
1426476064004,1
1426476064257,0
1426476064511,0
1426476064763,0
1426476065016,1
1426476065270,1
1426476065523,0
1426476065773,0
1426476066026,1
1426476066280,0
1426476066532,0
1426476066787,0
1426476067037,0
1426476067290,0
1426476067543,0
1426476067797,1
1426476068048,0
1426476068301,1
1426476068807,0
1426476069062,1
1426476069316,1
1426476069570,1
1426476069821,1
1426476070322,1
1426476070572,1
1426476070826,1
1426476071080,0
1426476071334,1
