DTG,RTT
1426373159627,231
1426373159747,99
1426373160008,106
1426373160254,100
1426373160510,101
1426373160764,103
1426373161375,206
1426373162119,195
1426373162362,183
1426373162857,176
1426373163332,143
1426373164117,173
1426373164636,185
1426373166411,192
1426373166658,188
1426373167677,192
1426373168685,190
1426373168969,220
1426373169665,157
1426373170961,187
1426373172981,187
1426373173243,195
1426373174231,174
1426373174544,233
1426373175221,153
1426373175435,114
1426373175676,100
1426373176030,203
1426373176700,116
1426373177236,145
1426373178772,165
1426373179812,195
1426373179971,100
1426373180224,101
1426373180989,107
1426373181236,102
1426373181491,103
1426373181743,102
1426373182341,193
1426373182502,104
1426373182753,103
1426373183006,103
1426373183821,160
1426373184079,166
1426373184331,166
1426373184521,104
1426373184773,102
1426373185025,102
1426373185277,103
1426373185529,102
1426373185850,169
1426373186111,178
1426373186595,157
1426373187377,184
1426373188144,189
1426373188391,183
1426373188936,223
1426373190082,103
1426373190669,185
1426373191940,189
1426373192188,183
1426373193670,152
1426373194489,214
1426373194975,193
1426373197011,200
1426373197665,99
1426373197932,114
1426373198465,140
1426373198774,197
1426373199019,188
1426373199256,174
1426373199758,172
1426373200255,160
1426373200767,164
1426373201261,152
1426373201780,167
1426373202283,163
1426373203834,199
1426373204095,208
1426373204598,204
1426373205602,195
1426373205870,211
1426373208108,175
1426373208366,180
1426373208855,165
1426373209341,148
1426373210387,178
1426373210658,196
1426373211365,143
1426373213666,171
1426373214648,142
1426373215169,157
1426373216382,104
1426373216974,191
1426373217248,213
1426373217892,98
1426373218204,158
1426373218456,156
1426373218978,173
1426373219460,149
1426373219986,171
1426373220242,173
1426373221270,192
1426373221535,204
1426373222024,187
1426373223050,203
1426373223531,178
1426373224272,161
1426373224523,162
1426373225603,231
1426373227037,145
1426373227603,208
1426373228077,175
1426373228829,168
1426373229594,173
1426373230854,177
1426373231852,161
1426373232608,156
1426373233144,186
1426373233386,175
1426373233942,227
1426373234212,244
1426373234408,185
1426373234913,184
1426373235166,182
1426373235682,188
1426373236639,137
1426373237961,191
1426373238987,206
1426373239463,174
1426373240199,153
1426373240547,247
1426373240731,176
1426373241986,164
1426373242500,171
1426373244752,143
1426373245007,147
1426373245258,145
1426373245774,155
1426373247534,147
1426373248076,185
1426373248560,166
1426373248816,167
1426373249146,247
1426373249364,212
1426373250020,110
1426373250323,159
1426373250571,155
1426373251536,112
1426373253307,106
1426373254162,200
1426373254419,202
1426373255095,119
1426373255839,105
1426373256097,111
1426373256341,101
1426373256598,103
1426373257630,120
1426373259694,160
1426373259948,162
1426373260148,108
1426373260724,176
1426373260946,144
1426373261206,149
1426373261466,157
1426373261983,169
1426373262439,118
1426373263271,191
1426373263523,190
1426373264549,206
1426373264699,104
1426373264981,134
1426373265527,173
1426373265786,182
1426373266295,186
1426373267282,161
1426373268559,173
1426373269827,180
1426373270083,183
1426373271063,150
1426373271399,232
1426373272880,196
1426373273132,193
1426373274152,205
1426373275366,156
1426373275860,143
1426373278655,159
1426373279188,187
1426373281213,183
1426373281399,115
1426373281637,101
1426373281892,103
1426373282150,111
1426373282400,106
1426373282649,100
1426373282911,110
1426373283159,105
1426373283407,103
1426373283657,101
1426373283919,111
1426373284162,103
1426373284423,111
1426373284675,113
1426373284949,135
1426373285168,100
